date,total_ridership,day_of_week,daytype,holiday,year,month,week
2001-04-15,136288,Sunday,U,,2001,4,15
2001-04-16,471533,Monday,W,,2001,4,16
2001-04-17,487606,Tuesday,W,,2001,4,16
2001-04-18,500752,Wednesday,W,,2001,4,16
2001-04-19,498167,Thursday,W,,2001,4,16
2001-04-20,493285,Friday,W,,2001,4,16
2001-04-21,245282,Saturday,A,,2001,4,16
2001-04-22,154941,Sunday,U,,2001,4,16
2001-04-23,493107,Monday,W,,2001,4,17
2001-04-24,516547,Tuesday,W,,2001,4,17
2001-04-25,508975,Wednesday,W,,2001,4,17
2001-04-26,521644,Thursday,W,,2001,4,17
2001-04-27,510041,Friday,W,,2001,4,17
2001-04-28,241980,Saturday,A,,2001,4,17
2001-04-29,167030,Sunday,U,,2001,4,17
2001-04-30,501440,Monday,W,,2001,4,18
2001-05-01,528642,Tuesday,W,,2001,5,18
2001-05-02,524381,Wednesday,W,,2001,5,18
2001-05-03,530142,Thursday,W,,2001,5,18
2001-05-04,518696,Friday,W,,2001,5,18
2001-05-05,256410,Saturday,A,,2001,5,18
2001-05-06,172415,Sunday,U,,2001,5,18
2001-05-07,499698,Monday,W,,2001,5,19
2001-05-08,519128,Tuesday,W,,2001,5,19
2001-05-09,517728,Wednesday,W,,2001,5,19
2001-05-10,512834,Thursday,W,,2001,5,19
2001-05-11,501332,Friday,W,,2001,5,19
2001-05-12,241496,Saturday,A,,2001,5,19
2001-05-13,167860,Sunday,U,,2001,5,19
2001-05-14,485756,Monday,W,,2001,5,20
2001-05-15,528690,Tuesday,W,,2001,5,20
2001-05-16,524451,Wednesday,W,,2001,5,20
2001-05-17,525206,Thursday,W,,2001,5,20
2001-05-18,525162,Friday,W,,2001,5,20
2001-05-19,263477,Saturday,A,,2001,5,20
2001-05-20,181977,Sunday,U,,2001,5,20
2001-05-21,492905,Monday,W,,2001,5,21
2001-05-22,532113,Tuesday,W,,2001,5,21
2001-05-23,517501,Wednesday,W,,2001,5,21
2001-05-24,514220,Thursday,W,,2001,5,21
2001-05-25,499325,Friday,W,,2001,5,21
2001-05-26,224884,Saturday,A,,2001,5,21
2001-05-27,173883,Sunday,U,,2001,5,21
2001-05-28,160046,Monday,U,Memorial Day,2001,5,22
2001-05-29,497223,Tuesday,W,,2001,5,22
2001-05-30,507301,Wednesday,W,,2001,5,22
2001-05-31,503381,Thursday,W,,2001,5,22
2001-06-01,510799,Friday,W,,2001,6,22
2001-06-02,235687,Saturday,A,,2001,6,22
2001-06-03,171033,Sunday,U,,2001,6,22
2001-06-04,500834,Monday,W,,2001,6,23
2001-06-05,506139,Tuesday,W,,2001,6,23
2001-06-06,524112,Wednesday,W,,2001,6,23
2001-06-07,539650,Thursday,W,,2001,6,23
2001-06-08,536203,Friday,W,,2001,6,23
2001-06-09,298992,Saturday,A,,2001,6,23
2001-06-10,202319,Sunday,U,,2001,6,23
2001-06-11,489611,Monday,W,,2001,6,24
2001-06-12,505877,Tuesday,W,,2001,6,24
2001-06-13,500346,Wednesday,W,,2001,6,24
2001-06-14,503205,Thursday,W,,2001,6,24
2001-06-15,511928,Friday,W,,2001,6,24
2001-06-16,284602,Saturday,A,,2001,6,24
2001-06-17,198332,Sunday,U,,2001,6,24
2001-06-18,493309,Monday,W,,2001,6,25
2001-06-19,511966,Tuesday,W,,2001,6,25
2001-06-20,511698,Wednesday,W,,2001,6,25
2001-06-21,497809,Thursday,W,,2001,6,25
2001-06-22,523271,Friday,W,,2001,6,25
2001-06-23,274317,Saturday,A,,2001,6,25
2001-06-24,235193,Sunday,U,,2001,6,25
2001-06-25,518629,Monday,W,,2001,6,26
2001-06-26,530588,Tuesday,W,,2001,6,26
2001-06-27,530311,Wednesday,W,,2001,6,26
2001-06-28,510274,Thursday,W,,2001,6,26
2001-06-29,556695,Friday,W,,2001,6,26
2001-06-30,303222,Saturday,A,,2001,6,26
2001-07-01,226367,Sunday,U,,2001,7,26
2001-07-02,524275,Monday,W,,2001,7,27
2001-07-03,691223,Tuesday,W,,2001,7,27
2001-07-04,255697,Wednesday,U,Independence Day,2001,7,27
2001-07-05,506576,Thursday,W,,2001,7,27
2001-07-06,537803,Friday,W,,2001,7,27
2001-07-07,290107,Saturday,A,,2001,7,27
2001-07-08,213970,Sunday,U,,2001,7,27
2001-07-09,499109,Monday,W,,2001,7,28
2001-07-10,509495,Tuesday,W,,2001,7,28
2001-07-11,513023,Wednesday,W,,2001,7,28
2001-07-12,531348,Thursday,W,,2001,7,28
2001-07-13,535530,Friday,W,,2001,7,28
2001-07-14,278407,Saturday,A,,2001,7,28
2001-07-15,201960,Sunday,U,,2001,7,28
2001-07-16,520845,Monday,W,,2001,7,29
2001-07-17,522749,Tuesday,W,,2001,7,29
2001-07-18,511746,Wednesday,W,,2001,7,29
2001-07-19,516495,Thursday,W,,2001,7,29
2001-07-20,509952,Friday,W,,2001,7,29
2001-07-21,255100,Saturday,A,,2001,7,29
2001-07-22,167424,Sunday,U,,2001,7,29
2001-07-23,479944,Monday,W,,2001,7,30
2001-07-24,526769,Tuesday,W,,2001,7,30
2001-07-25,511564,Wednesday,W,,2001,7,30
2001-07-26,531714,Thursday,W,,2001,7,30
2001-07-27,529885,Friday,W,,2001,7,30
2001-07-28,298854,Saturday,A,,2001,7,30
2001-07-29,197441,Sunday,U,,2001,7,30
2001-07-30,489457,Monday,W,,2001,7,31
2001-07-31,498164,Tuesday,W,,2001,7,31
2001-08-01,511720,Wednesday,W,,2001,8,31
2001-08-02,458800,Thursday,W,,2001,8,31
2001-08-03,503929,Friday,W,,2001,8,31
2001-08-04,266733,Saturday,A,,2001,8,31
2001-08-05,188051,Sunday,U,,2001,8,31
2001-08-06,489326,Monday,W,,2001,8,32
2001-08-07,509939,Tuesday,W,,2001,8,32
2001-08-08,497881,Wednesday,W,,2001,8,32
2001-08-09,502958,Thursday,W,,2001,8,32
2001-08-10,522913,Friday,W,,2001,8,32
2001-08-11,269869,Saturday,A,,2001,8,32
2001-08-12,195440,Sunday,U,,2001,8,32
2001-08-13,477467,Monday,W,,2001,8,33
2001-08-14,499431,Tuesday,W,,2001,8,33
2001-08-15,487893,Wednesday,W,,2001,8,33
2001-08-16,485554,Thursday,W,,2001,8,33
2001-08-17,499865,Friday,W,,2001,8,33
2001-08-18,248012,Saturday,A,,2001,8,33
2001-08-19,196962,Sunday,U,,2001,8,33
2001-08-20,506181,Monday,W,,2001,8,34
2001-08-21,507969,Tuesday,W,,2001,8,34
2001-08-22,500382,Wednesday,W,,2001,8,34
2001-08-23,511621,Thursday,W,,2001,8,34
2001-08-24,517184,Friday,W,,2001,8,34
2001-08-25,242714,Saturday,A,,2001,8,34
2001-08-26,204622,Sunday,U,,2001,8,34
2001-08-27,493443,Monday,W,,2001,8,35
2001-08-28,524914,Tuesday,W,,2001,8,35
2001-08-29,522235,Wednesday,W,,2001,8,35
2001-08-30,515320,Thursday,W,,2001,8,35
2001-08-31,515264,Friday,W,,2001,8,35
2001-09-01,266994,Saturday,A,,2001,9,35
2001-09-02,203374,Sunday,U,,2001,9,35
2001-09-03,178373,Monday,U,Labor Day,2001,9,36
2001-09-04,522499,Tuesday,W,,2001,9,36
2001-09-05,538625,Wednesday,W,,2001,9,36
2001-09-06,538472,Thursday,W,,2001,9,36
2001-09-07,551047,Friday,W,,2001,9,36
2001-09-08,285061,Saturday,A,,2001,9,36
2001-09-09,180201,Sunday,U,,2001,9,36
2001-09-10,552106,Monday,W,,2001,9,37
2001-09-11,439246,Tuesday,W,,2001,9,37
2001-09-12,491487,Wednesday,W,,2001,9,37
2001-09-13,507531,Thursday,W,,2001,9,37
2001-09-14,512481,Friday,W,,2001,9,37
2001-09-15,232065,Saturday,A,,2001,9,37
2001-09-16,159738,Sunday,U,,2001,9,37
2001-09-17,508920,Monday,W,,2001,9,38
2001-09-18,523232,Tuesday,W,,2001,9,38
2001-09-19,522475,Wednesday,W,,2001,9,38
2001-09-20,539596,Thursday,W,,2001,9,38
2001-09-21,522826,Friday,W,,2001,9,38
2001-09-22,256665,Saturday,A,,2001,9,38
2001-09-23,159356,Sunday,U,,2001,9,38
2001-09-24,519510,Monday,W,,2001,9,39
2001-09-25,533502,Tuesday,W,,2001,9,39
2001-09-26,533872,Wednesday,W,,2001,9,39
2001-09-27,536880,Thursday,W,,2001,9,39
2001-09-28,539405,Friday,W,,2001,9,39
2001-09-29,275604,Saturday,A,,2001,9,39
2001-09-30,183608,Sunday,U,,2001,9,39
2001-10-01,534320,Monday,W,,2001,10,40
2001-10-02,549541,Tuesday,W,,2001,10,40
2001-10-03,548831,Wednesday,W,,2001,10,40
2001-10-04,542576,Thursday,W,,2001,10,40
2001-10-05,543906,Friday,W,,2001,10,40
2001-10-06,272975,Saturday,A,,2001,10,40
2001-10-07,240089,Sunday,U,,2001,10,40
2001-10-08,443706,Monday,W,,2001,10,41
2001-10-09,538727,Tuesday,W,,2001,10,41
2001-10-10,532460,Wednesday,W,,2001,10,41
2001-10-11,541120,Thursday,W,,2001,10,41
2001-10-12,522039,Friday,W,,2001,10,41
2001-10-13,228435,Saturday,A,,2001,10,41
2001-10-14,174910,Sunday,U,,2001,10,41
2001-10-15,524417,Monday,W,,2001,10,42
2001-10-16,529811,Tuesday,W,,2001,10,42
2001-10-17,535549,Wednesday,W,,2001,10,42
2001-10-18,539619,Thursday,W,,2001,10,42
2001-10-19,536263,Friday,W,,2001,10,42
2001-10-20,266744,Saturday,A,,2001,10,42
2001-10-21,178418,Sunday,U,,2001,10,42
2001-10-22,519370,Monday,W,,2001,10,43
2001-10-23,533149,Tuesday,W,,2001,10,43
2001-10-24,522146,Wednesday,W,,2001,10,43
2001-10-25,516453,Thursday,W,,2001,10,43
2001-10-26,511982,Friday,W,,2001,10,43
2001-10-27,243788,Saturday,A,,2001,10,43
2001-10-28,174111,Sunday,U,,2001,10,43
2001-10-29,520366,Monday,W,,2001,10,44
2001-10-30,525309,Tuesday,W,,2001,10,44
2001-10-31,524960,Wednesday,W,,2001,10,44
2001-11-01,535863,Thursday,W,,2001,11,44
2001-11-02,539474,Friday,W,,2001,11,44
2001-11-03,263073,Saturday,A,,2001,11,44
2001-11-04,186227,Sunday,U,,2001,11,44
2001-11-05,526026,Monday,W,,2001,11,45
2001-11-06,533195,Tuesday,W,,2001,11,45
2001-11-07,534822,Wednesday,W,,2001,11,45
2001-11-08,531485,Thursday,W,,2001,11,45
2001-11-09,518003,Friday,W,,2001,11,45
2001-11-10,269578,Saturday,A,,2001,11,45
2001-11-11,182839,Sunday,U,,2001,11,45
2001-11-12,440322,Monday,W,,2001,11,46
2001-11-13,535411,Tuesday,W,,2001,11,46
2001-11-14,521264,Wednesday,W,,2001,11,46
2001-11-15,514046,Thursday,W,,2001,11,46
2001-11-16,520767,Friday,W,,2001,11,46
2001-11-17,296332,Saturday,A,,2001,11,46
2001-11-18,168030,Sunday,U,,2001,11,46
2001-11-19,501877,Monday,W,,2001,11,47
2001-11-20,511434,Tuesday,W,,2001,11,47
2001-11-21,492454,Wednesday,W,,2001,11,47
2001-11-22,126871,Thursday,U,Thanksgiving Day,2001,11,47
2001-11-23,297850,Friday,W,,2001,11,47
2001-11-24,211637,Saturday,A,,2001,11,47
2001-11-25,155684,Sunday,U,,2001,11,47
2001-11-26,501452,Monday,W,,2001,11,48
2001-11-27,512659,Tuesday,W,,2001,11,48
2001-11-28,513116,Wednesday,W,,2001,11,48
2001-11-29,512270,Thursday,W,,2001,11,48
2001-11-30,521995,Friday,W,,2001,11,48
2001-12-01,256928,Saturday,A,,2001,12,48
2001-12-02,176005,Sunday,U,,2001,12,48
2001-12-03,500339,Monday,W,,2001,12,49
2001-12-04,512188,Tuesday,W,,2001,12,49
2001-12-05,519679,Wednesday,W,,2001,12,49
2001-12-06,520651,Thursday,W,,2001,12,49
2001-12-07,516369,Friday,W,,2001,12,49
2001-12-08,263604,Saturday,A,,2001,12,49
2001-12-09,173457,Sunday,U,,2001,12,49
2001-12-10,498928,Monday,W,,2001,12,50
2001-12-11,513101,Tuesday,W,,2001,12,50
2001-12-12,509153,Wednesday,W,,2001,12,50
2001-12-13,510143,Thursday,W,,2001,12,50
2001-12-14,501752,Friday,W,,2001,12,50
2001-12-15,266453,Saturday,A,,2001,12,50
2001-12-16,178175,Sunday,U,,2001,12,50
2001-12-17,495502,Monday,W,,2001,12,51
2001-12-18,508381,Tuesday,W,,2001,12,51
2001-12-19,494250,Wednesday,W,,2001,12,51
2001-12-20,489871,Thursday,W,,2001,12,51
2001-12-21,475577,Friday,W,,2001,12,51
2001-12-22,224030,Saturday,A,,2001,12,51
2001-12-23,154191,Sunday,U,,2001,12,51
2001-12-24,214650,Monday,W,,2001,12,52
2001-12-25,78107,Tuesday,U,Christmas Day,2001,12,52
2001-12-26,317408,Wednesday,W,,2001,12,52
2001-12-27,364802,Thursday,W,,2001,12,52
2001-12-28,381559,Friday,W,,2001,12,52
2001-12-29,187717,Saturday,A,,2001,12,52
2001-12-30,133708,Sunday,U,,2001,12,52
2001-12-31,268405,Monday,W,,2001,12,1
2002-01-01,103438,Tuesday,U,New Year's Day,2002,1,1
2002-01-02,415228,Wednesday,W,,2002,1,1
2002-01-03,441970,Thursday,W,,2002,1,1
2002-01-04,446663,Friday,W,,2002,1,1
2002-01-05,207618,Saturday,A,,2002,1,1
2002-01-06,150005,Sunday,U,,2002,1,1
2002-01-07,480514,Monday,W,,2002,1,2
2002-01-08,494651,Tuesday,W,,2002,1,2
2002-01-09,499722,Wednesday,W,,2002,1,2
2002-01-10,499782,Thursday,W,,2002,1,2
2002-01-11,499762,Friday,W,,2002,1,2
2002-01-12,225360,Saturday,A,,2002,1,2
2002-01-13,148878,Sunday,U,,2002,1,2
2002-01-14,501387,Monday,W,,2002,1,3
2002-01-15,508014,Tuesday,W,,2002,1,3
2002-01-16,513521,Wednesday,W,,2002,1,3
2002-01-17,505306,Thursday,W,,2002,1,3
2002-01-18,490989,Friday,W,,2002,1,3
2002-01-19,230918,Saturday,A,,2002,1,3
2002-01-20,152790,Sunday,U,,2002,1,3
2002-01-21,331345,Monday,W,,2002,1,4
2002-01-22,510031,Tuesday,W,,2002,1,4
2002-01-23,507117,Wednesday,W,,2002,1,4
2002-01-24,511802,Thursday,W,,2002,1,4
2002-01-25,507899,Friday,W,,2002,1,4
2002-01-26,239433,Saturday,A,,2002,1,4
2002-01-27,159726,Sunday,U,,2002,1,4
2002-01-28,503046,Monday,W,,2002,1,5
2002-01-29,504728,Tuesday,W,,2002,1,5
2002-01-30,509068,Wednesday,W,,2002,1,5
2002-01-31,509280,Thursday,W,,2002,1,5
2002-02-01,494161,Friday,W,,2002,2,5
2002-02-02,231380,Saturday,A,,2002,2,5
2002-02-03,152043,Sunday,U,,2002,2,5
2002-02-04,486585,Monday,W,,2002,2,6
2002-02-05,504054,Tuesday,W,,2002,2,6
2002-02-06,504854,Wednesday,W,,2002,2,6
2002-02-07,507374,Thursday,W,,2002,2,6
2002-02-08,502113,Friday,W,,2002,2,6
2002-02-09,250009,Saturday,A,,2002,2,6
2002-02-10,152109,Sunday,U,,2002,2,6
2002-02-11,500100,Monday,W,,2002,2,7
2002-02-12,457613,Tuesday,W,,2002,2,7
2002-02-13,517421,Wednesday,W,,2002,2,7
2002-02-14,514954,Thursday,W,,2002,2,7
2002-02-15,498089,Friday,W,,2002,2,7
2002-02-16,247327,Saturday,A,,2002,2,7
2002-02-17,176741,Sunday,U,,2002,2,7
2002-02-18,387267,Monday,W,,2002,2,8
2002-02-19,504539,Tuesday,W,,2002,2,8
2002-02-20,507905,Wednesday,W,,2002,2,8
2002-02-21,509980,Thursday,W,,2002,2,8
2002-02-22,500278,Friday,W,,2002,2,8
2002-02-23,247267,Saturday,A,,2002,2,8
2002-02-24,168364,Sunday,U,,2002,2,8
2002-02-25,491226,Monday,W,,2002,2,9
2002-02-26,496552,Tuesday,W,,2002,2,9
2002-02-27,496369,Wednesday,W,,2002,2,9
2002-02-28,500038,Thursday,W,,2002,2,9
2002-03-01,501348,Friday,W,,2002,3,9
2002-03-02,223688,Saturday,A,,2002,3,9
2002-03-03,147711,Sunday,U,,2002,3,9
2002-03-04,416913,Monday,W,,2002,3,10
2002-03-05,497176,Tuesday,W,,2002,3,10
2002-03-06,500951,Wednesday,W,,2002,3,10
2002-03-07,502493,Thursday,W,,2002,3,10
2002-03-08,496424,Friday,W,,2002,3,10
2002-03-09,214925,Saturday,A,,2002,3,10
2002-03-10,152366,Sunday,U,,2002,3,10
2002-03-11,499234,Monday,W,,2002,3,11
2002-03-12,517278,Tuesday,W,,2002,3,11
2002-03-13,520032,Wednesday,W,,2002,3,11
2002-03-14,513198,Thursday,W,,2002,3,11
2002-03-15,499506,Friday,W,,2002,3,11
2002-03-16,288934,Saturday,A,,2002,3,11
2002-03-17,160169,Sunday,U,,2002,3,11
2002-03-18,489431,Monday,W,,2002,3,12
2002-03-19,498556,Tuesday,W,,2002,3,12
2002-03-20,499494,Wednesday,W,,2002,3,12
2002-03-21,485475,Thursday,W,,2002,3,12
2002-03-22,477091,Friday,W,,2002,3,12
2002-03-23,245032,Saturday,A,,2002,3,12
2002-03-24,161187,Sunday,U,,2002,3,12
2002-03-25,460170,Monday,W,,2002,3,13
2002-03-26,482336,Tuesday,W,,2002,3,13
2002-03-27,490476,Wednesday,W,,2002,3,13
2002-03-28,482311,Thursday,W,,2002,3,13
2002-03-29,398882,Friday,W,,2002,3,13
2002-03-30,227063,Saturday,A,,2002,3,13
2002-03-31,133560,Sunday,U,,2002,3,13
2002-04-01,478768,Monday,W,,2002,4,14
2002-04-02,494219,Tuesday,W,,2002,4,14
2002-04-03,504291,Wednesday,W,,2002,4,14
2002-04-04,507542,Thursday,W,,2002,4,14
2002-04-05,518513,Friday,W,,2002,4,14
2002-04-06,268669,Saturday,A,,2002,4,14
2002-04-07,152555,Sunday,U,,2002,4,14
2002-04-08,488528,Monday,W,,2002,4,15
2002-04-09,512709,Tuesday,W,,2002,4,15
2002-04-10,522780,Wednesday,W,,2002,4,15
2002-04-11,531453,Thursday,W,,2002,4,15
2002-04-12,499747,Friday,W,,2002,4,15
2002-04-13,260758,Saturday,A,,2002,4,15
2002-04-14,178105,Sunday,U,,2002,4,15
2002-04-15,495113,Monday,W,,2002,4,16
2002-04-16,506677,Tuesday,W,,2002,4,16
2002-04-17,501294,Wednesday,W,,2002,4,16
2002-04-18,501926,Thursday,W,,2002,4,16
2002-04-19,499978,Friday,W,,2002,4,16
2002-04-20,253528,Saturday,A,,2002,4,16
2002-04-21,160815,Sunday,U,,2002,4,16
2002-04-22,492607,Monday,W,,2002,4,17
2002-04-23,524040,Tuesday,W,,2002,4,17
2002-04-24,508518,Wednesday,W,,2002,4,17
2002-04-25,528750,Thursday,W,,2002,4,17
2002-04-26,519446,Friday,W,,2002,4,17
2002-04-27,230360,Saturday,A,,2002,4,17
2002-04-28,169796,Sunday,U,,2002,4,17
2002-04-29,493912,Monday,W,,2002,4,18
2002-04-30,510487,Tuesday,W,,2002,4,18
2002-05-01,511147,Wednesday,W,,2002,5,18
2002-05-02,505140,Thursday,W,,2002,5,18
2002-05-03,512258,Friday,W,,2002,5,18
2002-05-04,263624,Saturday,A,,2002,5,18
2002-05-05,175602,Sunday,U,,2002,5,18
2002-05-06,505187,Monday,W,,2002,5,19
2002-05-07,520364,Tuesday,W,,2002,5,19
2002-05-08,507124,Wednesday,W,,2002,5,19
2002-05-09,518752,Thursday,W,,2002,5,19
2002-05-10,514804,Friday,W,,2002,5,19
2002-05-11,213261,Saturday,A,,2002,5,19
2002-05-12,157036,Sunday,U,,2002,5,19
2002-05-13,481445,Monday,W,,2002,5,20
2002-05-14,505703,Tuesday,W,,2002,5,20
2002-05-15,507320,Wednesday,W,,2002,5,20
2002-05-16,489634,Thursday,W,,2002,5,20
2002-05-17,492572,Friday,W,,2002,5,20
2002-05-18,252303,Saturday,A,,2002,5,20
2002-05-19,172653,Sunday,U,,2002,5,20
2002-05-20,492100,Monday,W,,2002,5,21
2002-05-21,518300,Tuesday,W,,2002,5,21
2002-05-22,522219,Wednesday,W,,2002,5,21
2002-05-23,511992,Thursday,W,,2002,5,21
2002-05-24,486876,Friday,W,,2002,5,21
2002-05-25,228608,Saturday,A,,2002,5,21
2002-05-26,182578,Sunday,U,,2002,5,21
2002-05-27,169659,Monday,U,Memorial Day,2002,5,22
2002-05-28,497409,Tuesday,W,,2002,5,22
2002-05-29,508088,Wednesday,W,,2002,5,22
2002-05-30,512645,Thursday,W,,2002,5,22
2002-05-31,537001,Friday,W,,2002,5,22
2002-06-01,313533,Saturday,A,,2002,6,22
2002-06-02,201561,Sunday,U,,2002,6,22
2002-06-03,492523,Monday,W,,2002,6,23
2002-06-04,485697,Tuesday,W,,2002,6,23
2002-06-05,508527,Wednesday,W,,2002,6,23
2002-06-06,516338,Thursday,W,,2002,6,23
2002-06-07,511987,Friday,W,,2002,6,23
2002-06-08,272924,Saturday,A,,2002,6,23
2002-06-09,192819,Sunday,U,,2002,6,23
2002-06-10,492831,Monday,W,,2002,6,24
2002-06-11,510272,Tuesday,W,,2002,6,24
2002-06-12,512380,Wednesday,W,,2002,6,24
2002-06-13,503405,Thursday,W,,2002,6,24
2002-06-14,511357,Friday,W,,2002,6,24
2002-06-15,268901,Saturday,A,,2002,6,24
2002-06-16,190227,Sunday,U,,2002,6,24
2002-06-17,487117,Monday,W,,2002,6,25
2002-06-18,523260,Tuesday,W,,2002,6,25
2002-06-19,522339,Wednesday,W,,2002,6,25
2002-06-20,530567,Thursday,W,,2002,6,25
2002-06-21,520369,Friday,W,,2002,6,25
2002-06-22,288150,Saturday,A,,2002,6,25
2002-06-23,196331,Sunday,U,,2002,6,25
2002-06-24,504766,Monday,W,,2002,6,26
2002-06-25,507472,Tuesday,W,,2002,6,26
2002-06-26,507883,Wednesday,W,,2002,6,26
2002-06-27,517970,Thursday,W,,2002,6,26
2002-06-28,549274,Friday,W,,2002,6,26
2002-06-29,312251,Saturday,A,,2002,6,26
2002-06-30,261333,Sunday,U,,2002,6,26
2002-07-01,508031,Monday,W,,2002,7,27
2002-07-02,524950,Tuesday,W,,2002,7,27
2002-07-03,663531,Wednesday,W,,2002,7,27
2002-07-04,235814,Thursday,U,Independence Day,2002,7,27
2002-07-05,422876,Friday,W,,2002,7,27
2002-07-06,274353,Saturday,A,,2002,7,27
2002-07-07,216487,Sunday,U,,2002,7,27
2002-07-08,485688,Monday,W,,2002,7,28
2002-07-09,489314,Tuesday,W,,2002,7,28
